Time,Channel A,Channel B
(ms),(V),(V)

-0.00014215,2.32283473,-2.51968503
-0.00005415,2.32283473,-2.51968503
0.00003385,2.32283473,1.57480311
0.00012185,2.28346467,2.28346467
0.00020985,2.32283473,2.28346467
0.00029785,2.32283473,2.28346467
0.00038585,2.32283473,2.28346467
0.00047385,2.32283473,2.28346467
0.00056185,2.32283473,2.36220479
0.00064985,2.32283473,2.36220479
0.00073785,2.44094491,2.28346467
0.00082585,2.36220479,2.36220479
0.00091385,2.28346467,2.36220479
0.00100185,2.32283473,2.36220479
0.00108985,2.32283473,2.36220479
0.00117785,2.32283473,2.36220479
0.00126585,2.32283473,2.36220479
0.00135385,2.32283473,2.36220479
0.00144185,2.32283473,2.36220479
0.00152985,2.32283473,2.36220479
0.00161785,2.32283473,2.36220479
0.00170585,2.32283473,2.36220479
0.00179385,2.32283473,2.36220479
0.00188185,2.28346467,2.36220479
0.00196985,2.32283473,2.36220479
0.00205785,2.32283473,2.36220479
0.00214585,2.32283473,2.36220479
0.00223385,2.32283473,2.36220479
0.00232185,2.28346467,2.36220479
0.00240985,2.32283473,2.36220479
0.00249785,2.32283473,2.36220479
0.00258585,2.32283473,2.36220479
0.00267385,2.32283473,2.36220479
0.00276185,2.32283473,2.36220479
0.00284985,2.32283473,2.36220479
0.00293785,2.28346467,2.36220479
0.00302585,2.32283473,2.36220479
0.00311385,2.32283473,2.36220479
0.00320185,2.32283473,2.36220479
0.00328985,2.28346467,2.36220479
0.00337785,2.32283473,2.36220479
0.00346585,2.32283473,2.36220479
0.00355385,2.32283473,2.36220479
0.00364185,2.28346467,2.36220479
0.00372985,2.32283473,2.36220479
0.00381785,2.32283473,2.36220479
0.00390585,2.32283473,2.36220479
0.00399385,2.32283473,2.36220479
0.00408185,2.32283473,2.36220479
0.00416985,2.32283473,2.36220479
0.00425785,2.32283473,2.36220479
0.00434585,2.32283473,2.36220479
0.00443385,2.32283473,2.36220479
0.00452185,2.32283473,2.36220479
0.00460985,2.32283473,2.36220479
0.00469785,2.28346467,2.44094491
0.00478585,2.32283473,2.36220479
0.00487385,2.32283473,2.36220479
0.00496185,2.32283473,2.36220479
0.00504985,2.32283473,2.36220479
0.00513785,2.32283473,2.36220479
0.00522585,2.32283473,2.36220479
0.00531385,2.32283473,2.44094491
0.00540185,2.28346467,2.36220479
0.00548985,2.32283473,2.36220479
0.00557785,2.32283473,2.36220479
0.00566585,2.32283473,2.44094491
0.00575385,2.28346467,2.44094491
0.00584185,2.28346467,2.44094491
0.00592985,2.28346467,2.44094491
0.00601785,2.32283473,2.36220479
0.00610585,2.28346467,2.36220479
0.00619385,2.32283473,2.36220479
0.00628185,2.32283473,2.44094491
0.00636985,2.32283473,2.36220479
0.00645785,2.32283473,2.44094491
0.00654585,2.32283473,2.44094491
0.00663385,2.32283473,2.36220479
0.00672185,2.28346467,2.44094491
0.00680985,2.32283473,2.44094491
0.00689785,2.28346467,2.36220479
0.00698585,2.28346467,2.44094491
0.00707385,2.32283473,2.44094491
0.00716185,2.32283473,2.44094491
0.00724985,2.32283473,2.44094491
0.00733785,2.32283473,2.36220479
0.00742585,2.28346467,2.36220479
0.00751385,2.32283473,2.44094491
0.00760185,2.32283473,2.44094491
0.00768985,2.32283473,2.44094491
0.00777785,2.32283473,2.44094491
0.00786585,2.28346467,2.44094491
0.00795385,2.28346467,2.44094491
0.00804185,2.28346467,2.44094491
0.00812985,2.32283473,2.44094491
0.00821785,2.28346467,2.44094491
0.00830585,2.32283473,2.44094491
0.00839385,2.28346467,2.44094491
0.00848185,2.28346467,2.44094491
0.00856985,2.28346467,2.44094491
0.00865785,2.28346467,2.44094491
0.00874585,2.32283473,2.44094491
0.00883385,2.32283473,2.44094491
0.00892185,2.32283473,2.44094491
0.00900985,2.28346467,2.44094491
0.00909785,2.32283473,2.44094491
0.00918585,2.32283473,2.44094491
0.00927385,2.32283473,2.44094491
0.00936185,2.28346467,2.44094491
0.00944985,2.28346467,2.44094491
0.00953785,2.32283473,2.36220479
0.00962585,2.32283473,2.44094491
0.00971385,2.32283473,2.44094491
0.00980185,2.32283473,2.44094491
0.00988985,2.28346467,2.44094491
0.00997785,2.28346467,2.44094491
0.01006585,2.28346467,2.44094491
0.01015385,2.28346467,2.44094491
0.01024185,2.32283473,2.44094491
0.01032985,2.28346467,2.44094491
0.01041785,2.28346467,2.44094491
0.01050585,2.32283473,2.44094491
0.01059385,2.32283473,2.44094491
0.01068185,2.32283473,2.44094491
0.01076985,2.32283473,2.44094491
0.01085785,2.28346467,2.44094491
