Time,Channel A,Channel B
(ms),(V),(V)

-0.00524590,-8.03149605,-2.51968503
0.00475410,-7.87401581,2.28346467
0.01475410,-7.87401581,2.44094491
0.02475410,-8.03149605,2.44094491
0.03475410,-8.03149605,2.44094491
0.04475410,-8.03149605,2.44094491
0.05475410,-8.03149605,2.44094491
0.06475410,-8.18897629,2.44094491
0.07475410,-8.18897629,2.44094491
0.08475410,-8.18897629,2.44094491
0.09475410,-8.18897629,2.44094491
0.10475410,-8.34645653,2.44094491
0.11475410,-8.34645653,2.44094491
0.12475410,-8.34645653,2.44094491
0.13475410,-8.34645653,2.44094491
0.14475409,-8.50393677,2.44094491
0.15475409,-8.50393677,2.44094491
0.16475409,-8.50393677,2.44094491
0.17475409,-8.34645653,2.44094491
0.18475409,-8.03149605,2.44094491
0.19475409,-7.87401581,2.44094491
0.20475409,-7.71653557,-2.44094491
0.21475409,-7.71653557,-2.44094491
0.22475409,-7.87401581,-2.51968503
0.23475409,-7.87401581,-2.51968503
0.24475409,-7.87401581,-2.51968503
0.25475409,-7.87401581,-2.51968503
0.26475409,-8.03149605,-2.51968503
0.27475409,-8.03149605,-2.51968503
0.28475409,-8.03149605,-2.51968503
0.29475409,-8.18897629,-2.51968503
0.30475409,-8.18897629,-2.51968503
0.31475409,-8.18897629,-2.51968503
0.32475409,-8.34645653,-2.51968503
0.33475409,-8.34645653,-2.51968503
0.34475409,-8.34645653,-2.51968503
0.35475409,-8.34645653,-2.51968503
0.36475409,-8.34645653,-2.51968503
0.37475409,-8.34645653,-2.51968503
0.38475409,-8.18897629,-2.51968503
0.39475409,-8.03149605,-2.51968503
0.40475409,-7.87401581,2.28346467
0.41475409,-7.87401581,2.44094491
0.42475409,-8.03149605,2.36220479
0.43475409,-8.03149605,2.44094491
0.44475409,-8.03149605,2.44094491
0.45475409,-8.03149605,2.44094491
0.46475409,-8.18897629,2.44094491
0.47475409,-8.18897629,2.44094491
0.48475409,-8.18897629,2.44094491
0.49475409,-8.18897629,2.44094491
0.50475409,-8.34645653,2.44094491
0.51475409,-8.34645653,2.44094491
0.52475409,-8.34645653,2.44094491
0.53475408,-8.34645653,2.44094491
0.54475408,-8.50393677,2.44094491
0.55475408,-8.50393677,2.44094491
0.56475408,-8.50393677,2.44094491
0.57475408,-8.34645653,2.44094491
0.58475408,-8.03149605,2.44094491
0.59475408,-7.87401581,2.44094491
0.60475408,-7.71653557,-2.44094491
0.61475408,-7.71653557,-2.44094491
0.62475408,-7.87401581,-2.44094491
0.63475408,-7.87401581,-2.51968503
0.64475408,-7.87401581,-2.44094491
0.65475408,-8.03149605,-2.51968503
0.66475408,-8.03149605,-2.51968503
0.67475408,-8.03149605,-2.51968503
0.68475408,-8.18897629,-2.51968503
0.69475408,-8.18897629,-2.51968503
0.70475408,-8.18897629,-2.51968503
0.71475408,-8.18897629,-2.51968503
0.72475408,-8.34645653,-2.51968503
0.73475408,-8.34645653,-2.51968503
0.74475408,-8.34645653,-2.51968503
0.75475408,-8.34645653,-2.51968503
0.76475408,-8.34645653,-2.51968503
0.77475408,-8.34645653,-2.51968503
0.78475408,-8.18897629,-2.51968503
0.79475408,-8.03149605,-2.51968503
0.80475408,-8.03149605,2.36220479
0.81475408,-7.87401581,2.44094491
0.82475408,-8.03149605,2.44094491
0.83475408,-8.03149605,2.44094491
0.84475408,-8.03149605,2.44094491
0.85475408,-8.18897629,2.44094491
0.86475408,-8.18897629,2.44094491
0.87475408,-8.18897629,2.44094491
0.88475408,-8.18897629,2.44094491
0.89475408,-8.34645653,2.44094491
0.90475408,-8.34645653,2.44094491
0.91475408,-8.34645653,2.44094491
0.92475408,-8.34645653,2.44094491
0.93475407,-8.50393677,2.44094491
0.94475407,-8.50393677,2.44094491
0.95475407,-8.50393677,2.44094491
0.96475407,-8.50393677,2.44094491
0.97475407,-8.34645653,2.44094491
0.98475407,-8.18897629,2.44094491
0.99475407,-7.87401581,2.44094491
1.00475407,-7.71653557,-2.44094491
1.01475407,-7.87401581,-2.51968503
1.02475407,-7.87401581,-2.51968503
1.03475407,-7.87401581,-2.51968503
1.04475407,-8.03149605,-2.51968503
1.05475407,-8.03149605,-2.51968503
1.06475407,-8.03149605,-2.51968503
1.07475407,-8.18897629,-2.51968503
1.08475407,-8.18897629,-2.51968503
1.09475407,-8.18897629,-2.51968503
1.10475407,-8.18897629,-2.51968503
1.11475407,-8.18897629,-2.51968503
1.12475407,-8.34645653,-2.51968503
1.13475407,-8.34645653,-2.51968503
1.14475407,-8.34645653,-2.51968503
1.15475407,-8.34645653,-2.51968503
