Time,Channel A,Channel B
(ms),(V),(V)

-0.00151613,-0.47244096,-2.51968503
-0.00051613,-0.47244096,-2.51968503
0.00048387,-0.39370078,2.36220479
0.00148387,0.55118108,2.36220479
0.00248387,0.62992126,2.40157485
0.00348387,0.70866144,2.40157485
0.00448387,0.86614174,2.40157485
0.00548387,1.10236216,2.40157485
0.00648387,1.33858263,2.44094491
0.00748387,1.73228347,2.40157485
0.00848387,2.04724407,2.40157485
0.00948387,2.36220479,2.44094491
0.01048387,2.75590539,2.44094491
0.01148387,3.07086611,2.44094491
0.01248387,3.38582683,2.48031497
0.01348387,3.62204719,2.44094491
0.01448387,3.93700790,2.44094491
0.01548387,4.17322826,2.44094491
0.01648387,4.40944862,2.44094491
0.01748387,4.64566946,2.44094491
0.01848387,4.80314970,2.48031497
0.01948387,4.96062994,2.48031497
0.02048387,5.11811018,2.48031497
0.02148387,5.35433054,2.44094491
0.02248387,5.51181078,2.48031497
0.02348387,5.59055138,2.44094491
0.02448387,5.74803162,2.44094491
0.02548387,5.90551186,2.48031497
0.02648387,5.98425198,2.48031497
0.02748387,6.06299210,2.48031497
0.02848387,6.14173222,2.44094491
0.02948387,6.14173222,2.48031497
0.03048387,6.14173222,2.48031497
0.03148387,6.22047234,2.48031497
0.03248387,6.14173222,2.48031497
0.03348387,6.14173222,2.48031497
0.03448387,6.06299210,2.48031497
0.03548387,5.90551186,2.48031497
0.03648387,5.74803162,2.48031497
0.03748387,5.59055138,2.51968503
0.03848387,5.35433054,2.48031497
0.03948387,5.11811018,2.48031497
0.04048387,4.80314970,2.48031497
0.04148387,4.48818874,2.48031497
0.04248387,4.17322826,2.48031497
0.04348387,3.85826778,2.48031497
0.04448387,3.46456695,2.48031497
0.04548387,3.14960623,2.48031497
0.04648387,2.75590539,2.48031497
0.04748387,2.36220479,2.48031497
0.04848387,1.96850395,2.48031497
0.04948387,1.49606299,2.48031497
0.05048387,1.10236216,2.48031497
0.05148387,0.62992126,2.44094491
0.05248387,0.15748031,2.48031497
0.05348387,-0.31496063,2.48031497
0.05448387,-0.78740156,2.51968503
0.05548387,-1.25984251,2.48031497
0.05648387,-1.81102359,2.51968503
0.05748387,-2.36220479,2.48031497
0.05848387,-2.91338587,2.48031497
0.05948387,-3.46456695,2.48031497
0.06048387,-4.01574802,2.48031497
0.06148387,-4.48818874,2.48031497
0.06248387,-5.27559042,-2.36220479
0.06348387,5.74803162,-2.36220479
0.06448387,5.90551186,-2.40157485
0.06548387,6.37795258,-2.40157485
0.06648387,6.77165365,-2.40157485
0.06748387,7.08661413,-2.40157485
0.06848387,7.16535425,-2.40157485
0.06948387,7.16535425,-2.44094491
0.07048387,7.08661413,-2.44094491
0.07148387,6.85039377,-2.44094491
0.07248387,6.53543282,-2.44094491
0.07348387,6.22047234,-2.48031497
0.07448387,5.98425198,-2.44094491
0.07548387,5.74803162,-2.48031497
0.07648387,5.51181078,-2.48031497
0.07748387,5.27559042,-2.48031497
0.07848387,5.11811018,-2.48031497
0.07948387,4.96062994,-2.48031497
0.08048387,4.80314970,-2.44094491
0.08148387,4.64566946,-2.48031497
0.08248387,4.40944862,-2.48031497
0.08348387,4.25196838,-2.48031497
0.08448387,4.01574802,-2.48031497
0.08548387,3.85826778,-2.48031497
0.08648387,3.62204719,-2.48031497
0.08748387,3.38582683,-2.48031497
0.08848387,3.22834635,-2.44094491
0.08948387,3.07086611,-2.48031497
0.09048387,2.83464575,-2.48031497
0.09148387,2.67716527,-2.48031497
0.09248387,2.44094491,-2.48031497
0.09348387,2.28346467,-2.48031497
0.09448387,2.12598419,-2.48031497
0.09548387,1.96850395,-2.51968503
0.09648387,1.81102359,-2.48031497
0.09748387,1.73228347,-2.48031497
0.09848387,1.65354335,-2.48031497
0.09948387,1.57480311,-2.48031497
0.10048387,1.57480311,-2.48031497
0.10148387,1.49606299,-2.48031497
0.10248387,1.41732287,-2.48031497
0.10348387,1.33858263,-2.48031497
0.10448387,1.25984251,-2.51968503
0.10548387,1.18110240,-2.48031497
0.10648387,1.02362204,-2.51968503
0.10748387,0.94488192,-2.48031497
0.10848387,0.78740156,-2.48031497
0.10948387,0.70866144,-2.48031497
0.11048387,0.55118108,-2.48031497
0.11148387,0.47244096,-2.48031497
0.11248387,0.31496063,-2.48031497
0.11348387,0.23622048,-2.51968503
0.11448387,0.07874016,-2.48031497
0.11548387,0.00000000,-2.51968503
0.11648387,-0.15748031,-2.48031497
0.11748387,-0.23622048,-2.51968503
0.11848387,-0.31496063,-2.51968503
0.11948387,-0.31496063,-2.48031497
