Time,Channel A,Channel B
(ms),(V),(V)

-0.00152033,2.48031497,-2.51968503
-0.00052033,2.44094491,-2.51968503
0.00047967,2.44094491,2.32283473
0.00147967,2.44094491,2.36220479
0.00247967,2.44094491,2.36220479
0.00347967,2.40157485,2.40157485
0.00447967,2.44094491,2.44094491
0.00547967,2.44094491,2.40157485
0.00647967,2.44094491,2.40157485
0.00747967,2.44094491,2.44094491
0.00847967,2.44094491,2.44094491
0.00947967,2.40157485,2.44094491
0.01047967,2.40157485,2.44094491
0.01147967,2.40157485,2.44094491
0.01247967,2.44094491,2.48031497
0.01347967,2.40157485,2.44094491
0.01447967,2.40157485,2.44094491
0.01547967,2.44094491,2.48031497
0.01647967,2.40157485,2.48031497
0.01747967,2.44094491,2.48031497
0.01847967,2.44094491,2.44094491
0.01947967,2.44094491,2.48031497
0.02047967,2.44094491,2.48031497
0.02147967,2.44094491,2.48031497
0.02247967,2.44094491,2.48031497
0.02347967,2.40157485,2.48031497
0.02447967,2.44094491,2.48031497
0.02547967,2.44094491,2.48031497
0.02647967,2.44094491,2.48031497
0.02747967,2.44094491,2.48031497
0.02847967,2.44094491,2.48031497
0.02947967,2.44094491,2.48031497
0.03047967,2.44094491,2.48031497
0.03147967,2.44094491,2.48031497
0.03247967,2.44094491,2.48031497
0.03347967,2.48031497,2.44094491
0.03447967,2.48031497,2.48031497
0.03547967,2.44094491,2.48031497
0.03647967,2.48031497,2.48031497
0.03747967,2.48031497,2.48031497
0.03847967,2.44094491,2.48031497
0.03947967,2.48031497,2.48031497
0.04047967,2.48031497,2.48031497
0.04147967,2.48031497,2.51968503
0.04247967,2.48031497,2.48031497
0.04347967,2.48031497,2.48031497
0.04447967,2.48031497,2.51968503
0.04547967,2.48031497,2.48031497
0.04647967,2.44094491,2.48031497
0.04747967,2.48031497,2.48031497
0.04847967,2.48031497,2.48031497
0.04947967,2.48031497,2.48031497
0.05047967,2.44094491,2.51968503
0.05147967,2.48031497,2.51968503
0.05247967,2.44094491,2.48031497
0.05347967,2.44094491,2.48031497
0.05447967,2.48031497,2.48031497
0.05547967,2.44094491,2.51968503
0.05647967,2.48031497,2.48031497
0.05747967,2.44094491,2.51968503
0.05847967,2.44094491,2.48031497
0.05947967,2.44094491,2.48031497
0.06047967,2.44094491,2.48031497
0.06147967,2.44094491,2.48031497
0.06247967,2.44094491,2.48031497
0.06347967,2.40157485,-2.36220479
0.06447967,2.44094491,-2.36220479
0.06547967,2.44094491,-2.40157485
0.06647967,2.44094491,-2.40157485
0.06747967,2.44094491,-2.40157485
0.06847967,2.44094491,-2.40157485
0.06947967,2.44094491,-2.44094491
0.07047967,2.44094491,-2.44094491
0.07147967,2.44094491,-2.44094491
0.07247967,2.48031497,-2.44094491
0.07347967,2.44094491,-2.44094491
0.07447967,2.44094491,-2.48031497
0.07547967,2.44094491,-2.44094491
0.07647967,2.44094491,-2.48031497
0.07747967,2.48031497,-2.48031497
0.07847967,2.44094491,-2.48031497
0.07947967,2.44094491,-2.44094491
0.08047967,2.44094491,-2.48031497
0.08147967,2.48031497,-2.48031497
0.08247967,2.48031497,-2.48031497
0.08347967,2.44094491,-2.48031497
0.08447967,2.48031497,-2.48031497
0.08547967,2.44094491,-2.48031497
0.08647967,2.48031497,-2.48031497
0.08747967,2.48031497,-2.48031497
0.08847967,2.48031497,-2.48031497
0.08947967,2.48031497,-2.48031497
0.09047967,2.48031497,-2.48031497
0.09147967,2.44094491,-2.48031497
0.09247967,2.48031497,-2.51968503
0.09347967,2.48031497,-2.48031497
0.09447967,2.48031497,-2.51968503
0.09547967,2.48031497,-2.48031497
0.09647967,2.48031497,-2.48031497
0.09747967,2.48031497,-2.48031497
0.09847967,2.48031497,-2.51968503
0.09947967,2.48031497,-2.48031497
0.10047967,2.48031497,-2.51968503
0.10147967,2.48031497,-2.48031497
0.10247967,2.48031497,-2.48031497
0.10347967,2.48031497,-2.48031497
0.10447967,2.48031497,-2.48031497
0.10547967,2.48031497,-2.48031497
0.10647967,2.48031497,-2.48031497
0.10747967,2.48031497,-2.48031497
0.10847967,2.48031497,-2.51968503
0.10947967,2.48031497,-2.51968503
0.11047967,2.48031497,-2.48031497
0.11147967,2.48031497,-2.48031497
0.11247967,2.48031497,-2.51968503
0.11347967,2.44094491,-2.51968503
0.11447967,2.44094491,-2.48031497
0.11547967,2.44094491,-2.48031497
0.11647967,2.44094491,-2.51968503
0.11747967,2.44094491,-2.48031497
0.11847967,2.48031497,-2.48031497
0.11947967,2.40157485,-2.48031497
0.12047967,2.48031497,-2.51968503
