Time,Channel A,Channel B
(us),(V),(V)

-0.52032520,0.86614174,-2.51968503
0.47967480,0.86614174,2.32283473
1.47967479,0.82677168,2.32283473
2.47967479,0.86614174,2.40157485
3.47967479,0.86614174,2.36220479
4.47967479,0.82677168,2.40157485
5.47967478,0.86614174,2.40157485
6.47967478,0.82677168,2.40157485
7.47967478,0.86614174,2.40157485
8.47967478,0.86614174,2.40157485
9.47967477,0.86614174,2.44094491
10.47967477,0.86614174,2.44094491
11.47967477,0.82677168,2.44094491
12.47967477,0.86614174,2.44094491
13.47967476,0.82677168,2.44094491
14.47967476,0.82677168,2.44094491
15.47967476,0.86614174,2.44094491
16.47967476,0.82677168,2.44094491
17.47967475,0.86614174,2.44094491
18.47967475,0.82677168,2.48031497
19.47967475,0.82677168,2.40157485
20.47967475,0.82677168,2.44094491
21.47967474,0.82677168,2.44094491
22.47967474,0.82677168,2.48031497
23.47967474,0.82677168,2.44094491
24.47967474,0.82677168,2.48031497
25.47967473,0.82677168,2.44094491
26.47967473,0.86614174,2.48031497
27.47967473,0.82677168,2.48031497
28.47967473,0.82677168,2.48031497
29.47967472,0.82677168,2.48031497
30.47967472,0.82677168,2.48031497
31.47967472,0.82677168,2.48031497
32.47967472,0.82677168,2.48031497
33.47967471,0.82677168,2.44094491
34.47967471,0.82677168,2.48031497
35.47967471,0.82677168,2.48031497
36.47967471,0.82677168,2.51968503
37.47967470,0.82677168,2.44094491
38.47967470,0.82677168,2.48031497
39.47967470,0.82677168,2.48031497
40.47967470,0.82677168,2.48031497
41.47967469,0.82677168,2.44094491
42.47967469,0.86614174,2.48031497
43.47967469,0.82677168,2.48031497
44.47967468,0.82677168,2.48031497
45.47967468,0.82677168,2.44094491
46.47967468,0.82677168,2.48031497
47.47967468,0.86614174,2.48031497
48.47967467,0.86614174,2.48031497
49.47967467,0.86614174,2.48031497
50.47967467,0.82677168,2.48031497
51.47967467,0.82677168,2.48031497
52.47967466,0.82677168,2.51968503
53.47967466,0.86614174,2.48031497
54.47967466,0.82677168,2.48031497
55.47967466,0.86614174,2.48031497
56.47967465,0.82677168,2.48031497
57.47967465,0.82677168,2.48031497
58.47967465,0.82677168,2.48031497
59.47967465,0.86614174,2.44094491
60.47967464,0.82677168,2.51968503
61.47967464,0.82677168,2.48031497
62.47967464,0.82677168,2.48031497
63.47967464,0.86614174,-2.40157485
64.47967463,0.82677168,-2.36220479
65.47967463,0.82677168,-2.40157485
66.47967463,0.82677168,-2.40157485
67.47967463,0.82677168,-2.40157485
68.47967462,0.82677168,-2.44094491
69.47967462,0.82677168,-2.44094491
70.47967462,0.82677168,-2.44094491
71.47967462,0.82677168,-2.44094491
72.47967461,0.82677168,-2.44094491
73.47967461,0.82677168,-2.48031497
74.47967461,0.78740156,-2.48031497
75.47967461,0.82677168,-2.48031497
76.47967460,0.82677168,-2.44094491
77.47967460,0.82677168,-2.48031497
78.47967460,0.82677168,-2.48031497
79.47967460,0.86614174,-2.48031497
80.47967459,0.78740156,-2.48031497
81.47967459,0.82677168,-2.48031497
82.47967459,0.82677168,-2.48031497
83.47967459,0.86614174,-2.48031497
84.47967458,0.82677168,-2.48031497
85.47967458,0.82677168,-2.48031497
86.47967458,0.82677168,-2.44094491
87.47967458,0.82677168,-2.51968503
88.47967457,0.82677168,-2.48031497
89.47967457,0.86614174,-2.51968503
90.47967457,0.86614174,-2.48031497
91.47967457,0.86614174,-2.48031497
92.47967456,0.82677168,-2.48031497
93.47967456,0.86614174,-2.51968503
94.47967456,0.82677168,-2.51968503
95.47967456,0.86614174,-2.48031497
96.47967455,0.86614174,-2.48031497
97.47967455,0.82677168,-2.51968503
98.47967455,0.82677168,-2.44094491
99.47967455,0.86614174,-2.48031497
100.47967454,0.86614174,-2.48031497
101.47967454,0.82677168,-2.48031497
102.47967454,0.86614174,-2.48031497
103.47967454,0.82677168,-2.51968503
104.47967453,0.82677168,-2.48031497
105.47967453,0.86614174,-2.51968503
106.47967453,0.82677168,-2.48031497
107.47967453,0.86614174,-2.51968503
108.47967452,0.82677168,-2.48031497
109.47967452,0.82677168,-2.51968503
110.47967452,0.86614174,-2.48031497
111.47967452,0.86614174,-2.48031497
112.47967451,0.86614174,-2.48031497
113.47967451,0.82677168,-2.51968503
114.47967451,0.82677168,-2.51968503
115.47967451,0.86614174,-2.51968503
116.47967450,0.82677168,-2.48031497
117.47967450,0.86614174,-2.51968503
118.47967450,0.82677168,-2.51968503
119.47967450,0.86614174,-2.51968503
120.47967449,0.82677168,-2.48031497
121.47967449,0.82677168,-2.51968503
122.47967449,0.82677168,-2.51968503
123.47967449,0.90551180,-2.51968503
124.47967448,0.82677168,-2.51968503
125.47967448,0.86614174,2.32283473
126.47967448,0.82677168,2.32283473
127.47967448,0.82677168,2.32283473
128.47967447,0.82677168,2.40157485
129.47967447,0.82677168,2.36220479
130.47967447,0.82677168,2.40157485
131.47967447,0.82677168,2.40157485
132.47967446,0.82677168,2.40157485
133.47967446,0.86614174,2.40157485
134.47967446,0.82677168,2.44094491
135.47967446,0.86614174,2.40157485
136.47967445,0.82677168,2.44094491
137.47967445,0.82677168,2.44094491
138.47967445,0.82677168,2.44094491
139.47967445,0.82677168,2.44094491
140.47967444,0.82677168,2.44094491
141.47967444,0.82677168,2.44094491
142.47967444,0.82677168,2.48031497
143.47967443,0.82677168,2.44094491
144.47967443,0.82677168,2.44094491
145.47967443,0.82677168,2.44094491
146.47967443,0.86614174,2.44094491
147.47967442,0.82677168,2.44094491
148.47967442,0.82677168,2.48031497
149.47967442,0.82677168,2.44094491
150.47967442,0.86614174,2.48031497
151.47967441,0.82677168,2.44094491
152.47967441,0.82677168,2.48031497
153.47967441,0.86614174,2.44094491
154.47967441,0.82677168,2.44094491
155.47967440,0.82677168,2.44094491
156.47967440,0.82677168,2.48031497
157.47967440,0.82677168,2.48031497
158.47967440,0.82677168,2.48031497
159.47967439,0.86614174,2.44094491
160.47967439,0.82677168,2.48031497
161.47967439,0.86614174,2.44094491
162.47967439,0.82677168,2.51968503
163.47967438,0.82677168,2.44094491
164.47967438,0.82677168,2.48031497
165.47967438,0.82677168,2.48031497
166.47967438,0.82677168,2.48031497
167.47967437,0.86614174,2.48031497
168.47967437,0.82677168,2.48031497
169.47967437,0.82677168,2.44094491
170.47967437,0.82677168,2.48031497
171.47967436,0.86614174,2.48031497
172.47967436,0.86614174,2.48031497
173.47967436,0.82677168,2.48031497
174.47967436,0.82677168,2.48031497
175.47967435,0.82677168,2.48031497
176.47967435,0.86614174,2.48031497
177.47967435,0.82677168,2.48031497
178.47967435,0.82677168,2.48031497
179.47967434,0.82677168,2.48031497
180.47967434,0.86614174,2.48031497
181.47967434,0.86614174,2.48031497
182.47967434,0.82677168,2.51968503
183.47967433,0.82677168,2.44094491
184.47967433,0.82677168,2.51968503
185.47967433,0.82677168,2.48031497
186.47967433,0.82677168,2.48031497
187.47967432,0.86614174,2.48031497
188.47967432,0.86614174,-2.36220479
189.47967432,0.82677168,-2.36220479
190.47967432,0.82677168,-2.36220479
191.47967431,0.82677168,-2.40157485
192.47967431,0.82677168,-2.40157485
193.47967431,0.82677168,-2.44094491
194.47967431,0.82677168,-2.40157485
195.47967430,0.82677168,-2.44094491
196.47967430,0.82677168,-2.44094491
197.47967430,0.86614174,-2.48031497
198.47967430,0.82677168,-2.44094491
199.47967429,0.82677168,-2.44094491
200.47967429,0.86614174,-2.44094491
201.47967429,0.82677168,-2.48031497
202.47967429,0.82677168,-2.44094491
203.47967428,0.82677168,-2.48031497
204.47967428,0.82677168,-2.44094491
205.47967428,0.82677168,-2.48031497
206.47967428,0.82677168,-2.44094491
207.47967427,0.82677168,-2.51968503
208.47967427,0.82677168,-2.44094491
209.47967427,0.82677168,-2.51968503
210.47967427,0.82677168,-2.48031497
211.47967426,0.86614174,-2.48031497
212.47967426,0.82677168,-2.48031497
213.47967426,0.82677168,-2.48031497
214.47967426,0.82677168,-2.48031497
215.47967425,0.86614174,-2.51968503
216.47967425,0.82677168,-2.48031497
217.47967425,0.86614174,-2.51968503
218.47967425,0.82677168,-2.48031497
219.47967424,0.86614174,-2.48031497
220.47967424,0.82677168,-2.48031497
221.47967424,0.86614174,-2.48031497
222.47967424,0.82677168,-2.48031497
223.47967423,0.86614174,-2.51968503
224.47967423,0.82677168,-2.48031497
225.47967423,0.82677168,-2.48031497
226.47967423,0.86614174,-2.51968503
227.47967422,0.86614174,-2.51968503
228.47967422,0.86614174,-2.48031497
229.47967422,0.86614174,-2.51968503
230.47967422,0.82677168,-2.48031497
231.47967421,0.82677168,-2.48031497
232.47967421,0.86614174,-2.48031497
233.47967421,0.86614174,-2.51968503
234.47967421,0.82677168,-2.51968503
235.47967420,0.86614174,-2.48031497
236.47967420,0.82677168,-2.48031497
237.47967420,0.86614174,-2.51968503
238.47967420,0.82677168,-2.51968503
239.47967419,0.86614174,-2.51968503
240.47967419,0.82677168,-2.48031497
241.47967419,0.86614174,-2.51968503
242.47967419,0.82677168,-2.48031497
243.47967418,0.86614174,-2.51968503
244.47967418,0.86614174,-2.48031497
245.47967418,0.86614174,-2.51968503
246.47967417,0.82677168,-2.51968503
247.47967417,0.82677168,-2.51968503
248.47967417,0.82677168,-2.48031497
249.47967417,0.86614174,-2.51968503
250.47967416,0.86614174,2.32283473
251.47967416,0.86614174,2.32283473
252.47967416,0.86614174,2.36220479
253.47967416,0.82677168,2.36220479
254.47967415,0.86614174,2.40157485
255.47967415,0.82677168,2.40157485
256.47967415,0.86614174,2.44094491
257.47967415,0.86614174,2.40157485
258.47967414,0.82677168,2.44094491
259.47967414,0.82677168,2.40157485
260.47967414,0.86614174,2.40157485
261.47967414,0.82677168,2.44094491
262.47967413,0.82677168,2.44094491
263.47967413,0.82677168,2.44094491
264.47967413,0.82677168,2.44094491
265.47967413,0.82677168,2.44094491
266.47967412,0.78740156,2.44094491
267.47967412,0.82677168,2.44094491
268.47967412,0.82677168,2.44094491
269.47967412,0.82677168,2.44094491
270.47967411,0.86614174,2.51968503
271.47967411,0.82677168,2.48031497
272.47967411,0.82677168,2.44094491
273.47967411,0.82677168,2.48031497
274.47967410,0.82677168,2.48031497
275.47967410,0.82677168,2.44094491
276.47967410,0.86614174,2.48031497
277.47967410,0.86614174,2.48031497
278.47967409,0.82677168,2.48031497
279.47967409,0.82677168,2.44094491
280.47967409,0.82677168,2.48031497
281.47967409,0.86614174,2.48031497
282.47967408,0.82677168,2.48031497
283.47967408,0.82677168,2.48031497
284.47967408,0.82677168,2.48031497
285.47967408,0.82677168,2.44094491
286.47967407,0.82677168,2.48031497
287.47967407,0.82677168,2.44094491
288.47967407,0.82677168,2.48031497
289.47967407,0.82677168,2.48031497
290.47967406,0.82677168,2.48031497
291.47967406,0.82677168,2.48031497
292.47967406,0.82677168,2.48031497
293.47967406,0.82677168,2.48031497
294.47967405,0.82677168,2.48031497
295.47967405,0.86614174,2.44094491
296.47967405,0.78740156,2.48031497
297.47967405,0.82677168,2.48031497
298.47967404,0.86614174,2.48031497
299.47967404,0.82677168,2.44094491
